,Ticker,EBIT/EV,FCF/EV,Sales/EV,E/P,E/EV,Debt/Equity,Passes Graham test,Enterprise Value (M),Market cap (M),Net income (M),Operating income (M),Dividend Yield (%),Shareholder Yield (%),Buyback Yield (%),overperformer
115,BERY,0.09256614802549089,0.06410114282239528,1.0606690242130359,0.13159470274629212,0.05605191255930911,2.8958072590738424,False,13665.903,5820.903,766.0,1265.0,0,12.180240763331737,12.180240763331737,1.0
116,BBY,0.146266322231378,0.12241590695904016,2.519431316145876,0.14155746719540652,0.11944677362921852,1.4000691562932226,False,20544.716,17335.716,2454.0,3005.0,3.9686853068638825,24.169754993836726,20.201069686972843,0.0
117,BILL,-0.02401164096431847,-0.002556321415088466,0.04865408222327305,-0.023340441797722548,-0.024734905077223958,0.45835671178305987,False,13194.35,13982.64,-326.361,-316.818,0,,,0.0
118,BIO,0.04093248481467945,0.016491784099076645,0.2376693160596637,-0.2914033686140084,-0.307664937138881,0.1416815666215774,False,11790.538,12448.501,-3627.535,482.616,0,1.7325701099865531,1.7325701099865531,0.0
119,TECH,0.026292573329402814,0.02485414555084356,0.0980108661128643,0.024416898479546572,0.024117201749342072,0.19503253283263494,False,11280.372,11141.915,272.051,296.59,0.45041630069216604,1.8949615551786485,1.4445452544864825,0.0
120,BIIB,0.07223885947290203,0.034460268502821696,0.25325297665723195,0.07924729504785684,0.07584843755056521,0.5192751751399163,False,40170.9,38448.0,3046.9,2901.9,0,1.9506866416978776,1.9506866416978776,0.0
121,BMRN,0.0026709789417103894,0.0028509207403916146,0.13470179563071322,0.008986675149543918,0.009097407486826053,0.23684572270107962,False,15560.587,15752.322,141.561,41.562,0,0.0,-0.0,0.0
122,BJ,0.06428291612536999,0.0548924202370429,1.7355951041872915,0.06637956289578101,0.04442801374761892,3.912226112974481,False,9603.22,6427.46,426.652,617.323,0.0003889561217091506,3.0236048659631214,3.0232159098414124,0.0
123,BKI,0.024230039036417177,0.010270410094791021,0.12129870187295425,0.044802262576478326,0.03536804085154442,1.063198776038602,False,12794.036,10099.936,452.5,310.0,,,-0.0,1.0
124,BLK,0.07691746567738099,0.0524281015088698,0.21185789244133615,0.06253913680354808,0.06137750612998594,0.2250686184812443,False,84363.154,82796.154,5178.0,6489.0,3.6112788536618146,6.427834802404073,2.8165559487422582,0.0
125,BX,0.05005942843784904,0.08822038500866983,0.10314189604782731,0.028155019052128635,0.02527173348238918,1.3923413022122222,False,69153.586,62071.739,1747.631,3461.789,10.50201763826176,11.252690981630792,0.7506733433690321,0.0
126,HRB,0.09085695762906015,0.09106248131032746,0.4224237386484241,0.08371773679091206,0.06753300813174473,-7.199698096118648,False,8198.569,6613.581,553.674,744.897,2.819592158169269,11.335009660072032,8.515417501902764,0.0
127,SQ,-0.01960932707831557,0.00017262800807402162,0.5948197606498452,-0.016484397152829674,-0.018346713341588633,0.3054149363206815,False,29473.78,32803.565,-540.747,-577.961,0,0,0,0.0
128,OWL,-0.00042794876619432114,0.11425318594456103,0.23607363670125572,-0.002277739323540748,-0.001600973052428131,1.0658102136136387,False,5802.096,4078.166,-9.289,-2.483,4.476276386181112,6.40824757320288,1.9319711870217675,1.0
129,BK,-0.06241555225245693,-0.25735162500246817,-0.30071242933169906,0.05778522131739248,-0.04825577402210687,0.7090872486599391,False,-53320.044,44526.956,2573.0,3328.0,3.090262904497942,3.3687458987986285,0.2784829943006866,0.0
130,BA,-0.026571127464263405,0.017203246223681988,0.5003815827366855,-0.056049526640551746,-0.03795982671103279,-3.23289451381434,False,133114.412,90152.412,-5053.0,-3537.0,,,,1.0
131,BOKF,0.13964156536215505,1.0835025622807999,0.38472741787996445,0.08714325359453087,0.11005220899826025,0.08117657597649988,False,4727.511,5970.319,520.273,660.157,2.4085816228967367,5.085055140623865,2.676473517727129,0.0
132,BKNG,0.07593908526657873,0.09581056117867756,0.26469487399670216,0.04760873729229085,0.04736319044364629,2.5803814713896456,False,64564.907,64231.907,3058.0,4903.0,0,10.307961072997308,10.307961072997308,1.0
133,BAH,0.04550110703989358,0.043600592894908946,0.5554117947659931,0.03667727197418806,0.030973353521047613,2.5469924363924528,False,15058.557,12716.704,466.414,685.181,1.6439558947861415,4.937726120773449,3.293770225987307,0.0
134,BWA,0.1361843656940628,0.08039914401756952,1.501639331704038,0.12694143600203775,0.08971252003851729,0.6386715867158672,False,10522.5,7436.5,944.0,1433.0,2.164996948763567,5.392321592883171,3.2273246441196033,1.0
135,SAM,0.03305723971411642,0.02868053586499948,0.5481917948193431,0.01690371890556409,0.017639776559599314,0.05215151780377025,False,3813.144,3979.184,67.263,126.052,0,,,0.0
136,BXP,0.04000322892083089,0.04833112005958435,0.1171563620417224,0.06725076062715168,0.03199466864576717,2.320802070563833,False,26533.608,12623.411,848.934,1061.43,5.426576011097543,5.426576011097543,-0.0,0.0
137,BSX,0.030542923282300037,0.013731545440247041,0.19052894887660063,0.012041528395362393,0.010486453738831985,0.5064338756306331,False,66562.064,57966.064,698.0,2033.0,0.09488310340185266,0.09488310340185266,-0.0,1.0
138,BYD,0.11157492455971182,0.07718066491947216,0.3881519654680039,0.11240247458037482,0.06980284769379898,2.4168137767751214,False,9159.755,5688.282,639.377,1021.999,0.8466879447868803,10.3687541336963,9.522066188909418,0.0
139,BFAM,0.029891605583510037,0.02436739179787966,0.38325729282996124,0.0243265674457633,0.015296436626962165,2.0020508052278427,False,5271.881,3314.935,80.641,157.585,0,5.507497945924538,5.507497945924538,1.0
140,BHF,3.3679007803618988,-0.8191998728226004,4.891712185846857,1.275135556993437,2.760796096158877,0.542827657378741,False,1405.03,3042.03,3879.0,4732.0,3.4187702481907047,19.46069218200863,16.041921933817925,0.0
